Applied Field (H [arb. u.]),Normalized Magnetization
200.0,0.9995967173952253
199.0,0.9917042697723202
198.0,0.9985088407333136
197.0,0.9974022835843658
196.0,0.9998830663264535
195.0,0.9977074999235526
194.0,0.9998067039386702
193.0,0.9977074999235526
192.0,0.9993103957984358
191.0,0.9999976135529384
190.0,0.9959910623578496
189.0,0.9947329664561612
188.0,0.997993668476415
187.0,0.9997112536874962
186.0,0.9999785220447865
185.0,0.9951713337924919
184.0,0.9947329664561612
183.0,0.9998830663264535
182.0,0.9951713337924919
181.0,0.9994630972485331
180.0,0.9866062360086216
179.0,0.9998067039386702
178.0,0.9974022835843658
177.0,0.9977074999235526
176.0,0.9977074999235526
175.0,0.9991386159602414
174.0,0.9977074999235526
173.0,0.9999976135529384
172.0,0.9970780252859086
171.0,0.998947761013494
170.0,0.99559070176185
169.0,0.9991386159602414
168.0,0.9922564448752133
167.0,0.9959910623578496
166.0,0.9999976135529384
165.0,0.9985088407333136
164.0,0.9987378346019109
163.0,0.99559070176185
162.0,0.9893063484469192
161.0,0.9999976135529384
160.0,0.9866062360086216
159.0,0.9993103957984358
158.0,0.9995967173952253
157.0,0.980302828927101
156.0,0.9997112536874962
155.0,0.9998830663264535
154.0,0.9836047572272109
153.0,0.9998067039386702
152.0,0.9995967173952253
151.0,0.9998830663264535
150.0,0.9985088407333136
149.0,0.997993668476415
148.0,0.9893063484469192
147.0,0.9998067039386702
146.0,0.9843833314490612
145.0,0.9974022835843658
144.0,0.9999785220447865
143.0,0.9886596201122758
142.0,0.9951713337924919
141.0,0.989934189386273
140.0,0.9994630972485331
139.0,0.9977074999235526
138.0,0.9858840851656268
137.0,0.9998067039386702
136.0,0.9905431309438779
135.0,0.9999785220447865
134.0,0.9905431309438779
133.0,0.9991386159602414
132.0,0.9977074999235526
131.0,0.998947761013494
130.0,0.997993668476415
129.0,0.9922564448752133
128.0,0.9995967173952253
127.0,0.9982607837795507
126.0,0.998947761013494
125.0,0.9970780252859086
124.0,0.9999785220447865
123.0,0.99559070176185
122.0,0.9970780252859086
121.0,0.9994630972485331
120.0,0.99559070176185
119.0,0.9942756081219716
118.0,0.9993103957984358
117.0,0.998947761013494
116.0,0.9977074999235526
115.0,0.9999976135529384
114.0,0.9977074999235526
113.0,0.9974022835843658
112.0,0.9998067039386702
111.0,0.9999403393929696
110.0,0.9970780252859086
109.0,0.9999785220447865
108.0,0.9999976135529384
107.0,0.9886596201122758
106.0,0.9987378346019109
105.0,0.9933039537491412
104.0,0.9991386159602414
103.0,0.9982607837795507
102.0,0.9999976135529384
101.0,0.9987378346019109
100.0,0.9998067039386702
99.0,0.9977074999235526
98.0,0.9999785220447865
97.0,0.9995967173952253
96.0,0.9999976135529384
95.0,0.9911331614940936
94.0,0.9999785220447865
93.0,0.9911331614940936
92.0,0.9998830663264535
91.0,0.975754456667474
90.0,0.9974022835843658
89.0,0.9998830663264535
88.0,0.9997112536874962
87.0,0.9970780252859086
86.0,0.9999785220447865
85.0,0.998947761013494
84.0,0.9999785220447865
83.0,0.9927896762608921
82.0,0.9985088407333136
81.0,0.9977074999235526
80.0,0.9977074999235526
79.0,0.9942756081219716
78.0,0.9917042697723202
77.0,0.9999403393929696
76.0,0.9999785220447865
75.0,0.9995967173952253
74.0,0.9937992675216041
73.0,0.9963724079369848
72.0,0.9933039537491412
71.0,0.9851431122636652
70.0,0.9993103957984358
69.0,0.9917042697723202
68.0,0.9917042697723202
67.0,0.989934189386273
66.0,0.997993668476415
65.0,0.9959910623578496
64.0,0.9993103957984358
63.0,0.9999976135529384
62.0,0.9970780252859086
61.0,0.998947761013494
60.0,0.9974022835843658
59.0,0.996734731218776
58.0,0.9999976135529384
57.0,0.9998830663264535
56.0,0.9959910623578496
55.0,0.9994630972485331
54.0,0.9994630972485331
53.0,0.9963724079369848
52.0,0.9905431309438779
51.0,0.9707403854746223
50.0,0.9999785220447865
